 ,Area
1457,304
1458,278
1459,474
1460,428
1461,308
1462,464
1463,353
1464,309
1465,283
1466,312
1467,282
1468,465
1469,354
1470,285
1471,313
1472,302
1473,312
1474,440
1475,306
1476,343
1477,349
1478,305
1479,383
1480,385
1481,338
1482,195
1483,183
1484,290
1485,283
1486,269
1487,348
1488,323
1489,318
1490,484
1491,290
1492,303
1493,164
1494,309
1495,385
1496,287
1497,320
1498,299
1499,373
1500,249
1501,229
1502,296
1503,214
1504,294
1505,20
1506,441
1507,309
1508,352
1509,461
1510,318
1511,294
1512,305
1513,289
1514,320
1515,329
1516,357
1517,311
1518,342
1519,326
1520,189
1521,289
1522,210
1523,324
1524,236
1525,326
1526,415
1527,372
1528,321
1529,308
1530,338
1531,325
1532,305
1533,325
1534,441
1535,332
1536,67
1537,288
1538,338
1539,308
1540,314
1541,289
1542,449
1543,321
1544,382
1545,61
1546,379
1547,340
1548,312
1549,321
1550,182
1551,469
1552,327
1553,96
1554,330
1555,287
1556,292
1557,346
1558,489
1559,328
1560,348
1561,373
1562,326
1563,464
1564,330
1565,413
1566,295
1567,236
1568,325
1569,361
1570,293
1571,335
1572,333
1573,434
1574,428
1575,341
1576,323
1577,455
1578,303
1579,291
1580,304
1581,365
1582,283
1583,314
1584,318
1585,332
1586,328
1587,268
1588,484
1589,456
1590,451
1591,316
1592,375
1593,287
1594,307
1595,324
1596,455
1597,366
1598,243
1599,330
1600,443
1601,256
1602,310
1603,289
1604,411
1605,183
1606,466
1607,333
1608,302
1609,389
1610,356
1611,454
1612,332
1613,164
1614,441
1615,332
1616,358
1617,273
1618,321
1619,366
1620,406
1621,411
1622,470
1623,271
1624,303
1625,327
1626,297
1627,347
1628,304
1629,310
1630,311
1631,495
1632,336
1633,289
1634,327
1635,304
1636,474
1637,280
1638,388
1639,398
1640,364
1641,339
1642,267
1643,209
1644,209
1645,486
1646,311
1647,452
1648,220
1649,494
1650,145
1651,456
1652,470
1653,96
1654,408
1655,306
1656,414
1657,472
1658,332
1659,209
1660,122
1661,249
1662,366
1663,180
1664,323
1665,467
1666,434
1667,381
1668,334
1669,220
1670,356
1671,290
1672,472
1673,328
1674,366
1675,305
1676,493
1677,336
1678,261
1679,399
1680,205
1681,312
1682,358
1683,271
1684,494
1685,332
1686,367
1687,232
1688,461
1689,322
1690,341
1691,425
1692,435
1693,416
1694,405
1695,305
1696,330
1697,313
1698,480
1699,363
1700,309
1701,314
1702,271
1703,356
1704,93
1705,338
1706,356
1707,226
1708,287
1709,446
1710,425
1711,318
1712,306
1713,316
1714,318
1715,315
1716,292
1717,458
1718,380
1719,347
1720,349
1721,460
1722,257
1723,190
1724,290
1725,361
1726,475
1727,400
1728,372
1729,188
1730,282
1731,450
1732,296
1733,311
1734,317
1735,287
1736,370
1737,196
1738,488
1739,469
1740,287
1741,198
1742,435
1743,306
1744,295
1745,282
1746,288
1747,307
1748,296
1749,378
1750,186
1751,463
1752,246
1753,361
1754,436
1755,320
1756,420
1757,321
1758,373
1759,262
1760,273
1761,426
1762,289
1763,184
1764,173
1765,258
1766,273
1767,315
1768,272
1769,285
1770,466
1771,332
1772,370
1773,271
1774,318
1775,444
1776,470
1777,282
1778,409
1779,496
1780,310
1781,274
1782,267
1783,353
1784,339
1785,388
1786,236
1787,344
1788,496
1789,346
1790,291
1791,341
1792,262
1793,272
1794,307
1795,353
1796,262
1797,160
1798,179
1799,305
1800,251
1801,315
1802,308
1803,359
1804,356
1805,241
1806,431
1807,301
1808,247
1809,375
1810,292
1811,379
1812,259
1813,232
1814,350
1815,272
1816,366
1817,342
1818,261
1819,316
1820,405
1821,474
1822,359
1823,222
1824,429
1825,436
1826,180
1827,310
1828,300
1829,217
1830,497
1831,260
1832,211
1833,431
1834,465
1835,275
1836,356
1837,254
1838,272
1839,457
1840,229
1841,250
1842,183
1843,282
1844,174
1845,186
1846,354
1847,185
1848,178
1849,300
1850,315
1851,280
1852,199
1853,377
1854,194
1855,464
1856,484
1857,202
1858,439
1859,434
1860,286
1861,419
1862,256
1863,399
1864,311
1865,315
1866,402
1867,280
1868,284
1869,283
1870,247
1871,243
1872,364
1873,236
1874,220
1875,410
1876,484
1877,442
1878,302
1879,497
1880,299
1881,377
1882,399
1883,268
1884,266
1885,287
1886,309
1887,408
1888,255
1889,410
1890,291
1891,265
1892,262
1893,280
1894,275
1895,355
1896,352
1897,294
1898,266
1899,420
1900,277
1901,429
1902,293
1903,212
1904,379
1905,326
1906,299
1907,217
1908,472
1909,300
1910,241
1911,315
1912,491
1913,279
1914,301
1915,278
1916,498
1917,482
1918,316
1919,496
1920,280
1921,296
1922,198
1923,285
1924,487
1925,359
1926,299
1927,245
1928,316
1929,288
1930,308
1931,303
1932,343
1933,471
1934,260
1935,361
1936,306
1937,351
1938,242
1939,426
1940,355
1941,312
1942,258
1943,268
1944,284
1945,338
1946,299
1947,306
1948,314
1949,351
1950,412
1951,297
1952,303
1953,381
1954,418
1955,309
1956,431
1957,311
1958,21
1959,198
1960,319
1961,31
1962,462
1963,289
1964,292
1965,288
1966,252
1967,341
1968,303
1969,323
1970,264
1971,386
1972,348
1973,357
1974,494
1975,320
1976,298
1977,362
1978,330
1979,264
1980,366
1981,294
1982,273
1983,237
1984,267
1985,349
1986,423
1987,318
1988,304
1989,297
1990,306
1991,405
1992,330
1993,371
1994,243
1995,343
1996,323
1997,354
1998,313
1999,399
2000,428
2001,325
2002,333
2003,405
2004,125
2005,331
2006,316
2007,313
2008,112
2009,488
2010,288
2011,391
2012,312
2013,323
2014,456
2015,357
2016,353
2017,425
2018,419
2019,334
2020,301
2021,309
2022,163
2023,307
2024,356
2025,365
2026,327
2027,291
2028,493
2029,337
2030,441
2031,344
2032,333
2033,295
2034,301
2035,299
2036,282
2037,296
2038,308
2039,256
2040,476
2041,380
2042,306
2043,334
2044,121
2045,352
2046,316
2047,309
2048,168
2049,320
2050,293
2051,481
2052,440
2053,308
2054,368
2055,288
2056,386
2057,330
2058,414
2059,313
2060,326
2061,378
2062,293
2063,281
2064,268
2065,308
2066,470
2067,368
2068,269
2069,221
2070,300
2071,310
2072,435
2073,309
2074,394
2075,263
2076,367
2077,319
2078,304
2079,376
2080,449
2081,313
2082,227
2083,480
2084,319
2085,308
2086,313
2087,351
2088,314
2089,366
2090,319
2091,425
2092,313
2093,334
2094,316
2095,320
2096,294
2097,325
2098,329
2099,374
2100,286
2101,338
2102,328
2103,280
2104,291
2105,313
2106,308
2107,334
2108,317
2109,306
2110,247
2111,388
2112,354
2113,322
2114,454
2115,394
2116,322
2117,328
2118,276
2119,301
2120,366
2121,296
2122,382
2123,297
2124,324
2125,254
2126,195
2127,310
2128,347
2129,338
2130,313
2131,291
2132,187
2133,346
2134,342
2135,366
2136,315
2137,256
2138,316
2139,357
2140,446
2141,355
2142,445
2143,353
2144,287
2145,306
2146,214
2147,371
2148,417
2149,344
2150,395
2151,206
2152,401
2153,425
2154,452
2155,175
2156,387
2157,411
2158,494
2159,295
2160,368
2161,406
2162,336
2163,333
2164,422
2165,389
2166,348
2167,447
2168,335
2169,170
2170,313
2171,469
2172,483
2173,494
2174,183
2175,399
2176,181
2177,347
2178,490
2179,339
2180,355
2181,355
2182,314
2183,485
2184,438
2185,362
2186,315
2187,353
2188,326
2189,359
2190,393
2191,432
2192,450
2193,499
2194,394
2195,374
2196,348
2197,499
2198,325
2199,369
2200,202
2201,213
2202,365
2203,338
2204,484
2205,415
2206,386
2207,340
2208,251
2209,319
2210,349
2211,419
2212,347
2213,410
2214,372
2215,393
2216,312
2217,321
2218,424
2219,349
2220,251
2221,198
2222,353
2223,352
2224,325
2225,377
2226,347
2227,267
2228,353
2229,320
2230,433
2231,395
2232,414
2233,390
2234,414
2235,279
2236,298
2237,224
2238,391
2239,302
2240,379
2241,277
2242,396
2243,268
2244,460
2245,347
2246,323
2247,355
2248,349
2249,404
2250,298
2251,405
2252,399
2253,395
2254,485
2255,406
2256,334
2257,395
2258,394
2259,319
2260,403
2261,358
2262,376
2263,384
2264,390
2265,414
2266,371
2267,438
2268,482
2269,365
2270,490
2271,345
2272,474
2273,416
2274,331
2275,345
2276,357
2277,374
2278,361
2279,359
2280,398
2281,238
2282,332
2283,361
2284,484
2285,342
2286,351
2287,406
2288,354
2289,370
2290,461
2291,492
2292,311
2293,479
2294,329
2295,355
2296,346
2297,499
2298,342
2299,55
2300,21
2301,358
2302,428
2303,351
2304,388
2305,341
2306,328
2307,338
2308,373
2309,381
2310,468
2311,319
2312,341
2313,442
2314,399
2315,361
2316,453
2317,369
2318,364
2319,411
2320,405
2321,447
2322,480
2323,360
2324,459
2325,390
2326,368
2327,362
2328,426
2329,401
2330,404
2331,347
2332,403
2333,427
2334,382
2335,341
2336,488
2337,352
2338,423
2339,330
2340,379
2341,421
2342,396
2343,370
2344,500
2345,188
2346,381
2347,429
2348,364
2349,384
2350,394
2351,462
2352,340
2353,358
2354,343
2355,400
2356,314
2357,317
2358,373
2359,241
2360,311
2361,382
2362,406
2363,477
2364,387
